epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,428.515,0.68322,0.33027,0.78566,0.99479,0.95544,0.98339,0.92131,0.51526,0.30983,0.75152,0.000911,0.000911,0.000911
57,436.074,0.66121,0.3229,0.7903,0.98766,0.96137,0.98288,0.9228,0.51232,0.30748,0.74897,0.0008912,0.0008912,0.0008912
58,443.621,0.68132,0.32593,0.78878,0.98987,0.95495,0.9826,0.93654,0.45562,0.30273,0.74788,0.0008714,0.0008714,0.0008714
59,451.424,0.68258,0.32684,0.78863,0.99168,0.95495,0.98327,0.93926,0.44076,0.30171,0.74709,0.0008516,0.0008516,0.0008516
60,459.186,0.65864,0.3258,0.7834,0.98854,0.95696,0.98337,0.9405,0.42854,0.29614,0.74946,0.0008318,0.0008318,0.0008318
61,466.775,0.628,0.31615,0.78749,0.99006,0.95295,0.9827,0.94096,0.43707,0.30344,0.74825,0.000812,0.000812,0.000812
62,474.298,0.61554,0.3172,0.7867,0.99016,0.95495,0.98302,0.93316,0.49565,0.30477,0.74939,0.0007922,0.0007922,0.0007922
63,481.806,0.60431,0.31047,0.78676,0.98343,0.95996,0.9836,0.94026,0.44965,0.29576,0.75025,0.0007724,0.0007724,0.0007724
64,489.354,0.58737,0.30221,0.78737,0.98961,0.95382,0.98155,0.94407,0.38523,0.28222,0.74606,0.0007526,0.0007526,0.0007526
65,496.922,0.61967,0.30929,0.78502,0.9896,0.95276,0.98246,0.94582,0.39297,0.29335,0.74701,0.0007328,0.0007328,0.0007328
66,504.458,0.60045,0.30339,0.78674,0.9949,0.95796,0.98446,0.94767,0.42969,0.29021,0.74791,0.000713,0.000713,0.000713
67,512.023,0.60176,0.30257,0.78774,0.98754,0.95167,0.98227,0.9443,0.42452,0.30247,0.74795,0.0006932,0.0006932,0.0006932
68,519.558,0.60594,0.30471,0.7864,0.99029,0.95195,0.98076,0.91409,0.55972,0.31259,0.7509,0.0006734,0.0006734,0.0006734
69,527.148,0.64509,0.31303,0.78835,0.99693,0.95195,0.98232,0.94948,0.3747,0.28208,0.7471,0.0006536,0.0006536,0.0006536
70,534.67,0.57664,0.29527,0.7842,0.99222,0.95195,0.98216,0.94958,0.38156,0.2826,0.74632,0.0006338,0.0006338,0.0006338
71,542.209,0.58975,0.30174,0.78409,0.99158,0.95295,0.98203,0.92302,0.53201,0.30543,0.75207,0.000614,0.000614,0.000614
72,549.721,0.6099,0.30513,0.78513,0.99114,0.95696,0.98256,0.93776,0.46649,0.29573,0.75041,0.0005942,0.0005942,0.0005942
